pickup_nta,pickup_day,pickup_hour,nta_trips,nta_mean_duration,nta_na
Baisley Park,0,12,0,0.0,1
Baisley Park,0,13,0,0.0,1
Baisley Park,0,14,0,0.0,1
Baisley Park,0,15,0,0.0,1
Baisley Park,0,16,5,3258.8,0
Baisley Park,0,17,0,0.0,1
Baisley Park,0,18,0,0.0,1
Baisley Park,0,19,0,0.0,1
Baisley Park,0,21,0,0.0,1
Baisley Park,0,22,0,0.0,1
Baisley Park,0,23,0,0.0,1
Baisley Park,1,1,0,0.0,1
Baisley Park,1,7,0,0.0,1
Baisley Park,1,8,0,0.0,1
Baisley Park,1,10,0,0.0,1
Baisley Park,1,13,0,0.0,1
Baisley Park,1,14,0,0.0,1
Baisley Park,1,16,0,0.0,1
Baisley Park,1,17,0,0.0,1
Baisley Park,1,18,0,0.0,1
Baisley Park,1,19,0,0.0,1
Baisley Park,1,20,0,0.0,1
Baisley Park,1,21,0,0.0,1
Baisley Park,1,22,0,0.0,1
Baisley Park,2,0,0,0.0,1
Baisley Park,2,5,0,0.0,1
Baisley Park,2,6,0,0.0,1
Baisley Park,2,7,0,0.0,1
Baisley Park,2,8,0,0.0,1
Baisley Park,2,9,0,0.0,1
Baisley Park,2,10,0,0.0,1
Baisley Park,2,11,0,0.0,1
Baisley Park,2,12,0,0.0,1
Baisley Park,2,13,0,0.0,1
Baisley Park,2,14,5,3233.0,0
Baisley Park,2,15,7,2748.714285714286,0
Baisley Park,2,16,5,2782.6,0
Baisley Park,2,17,0,0.0,1
Baisley Park,2,18,0,0.0,1
Baisley Park,2,19,0,0.0,1
Baisley Park,2,20,0,0.0,1
Baisley Park,2,23,0,0.0,1
Baisley Park,3,5,0,0.0,1
Baisley Park,3,6,0,0.0,1
Baisley Park,3,7,5,3774.6,0
Baisley Park,3,11,0,0.0,1
Baisley Park,3,12,0,0.0,1
Baisley Park,3,13,0,0.0,1
Baisley Park,3,14,0,0.0,1
Baisley Park,3,15,0,0.0,1
Baisley Park,3,16,6,3481.5,0
Baisley Park,3,17,0,0.0,1
Baisley Park,3,18,0,0.0,1
Baisley Park,3,19,0,0.0,1
Baisley Park,3,20,6,1696.0,0
Baisley Park,3,21,0,0.0,1
Baisley Park,3,22,0,0.0,1
Baisley Park,3,23,0,0.0,1
Baisley Park,4,1,0,0.0,1
Baisley Park,4,7,0,0.0,1
Baisley Park,4,8,0,0.0,1
Baisley Park,4,11,0,0.0,1
Baisley Park,4,12,0,0.0,1
Baisley Park,4,13,0,0.0,1
Baisley Park,4,14,0,0.0,1
Baisley Park,4,15,0,0.0,1
Baisley Park,4,16,7,4000.5714285714284,0
Baisley Park,4,17,0,0.0,1
Baisley Park,4,18,0,0.0,1
Baisley Park,4,19,0,0.0,1
Baisley Park,4,20,0,0.0,1
Baisley Park,4,21,0,0.0,1
Baisley Park,4,22,0,0.0,1
Baisley Park,4,23,0,0.0,1
Baisley Park,5,2,0,0.0,1
Baisley Park,5,7,0,0.0,1
Baisley Park,5,8,0,0.0,1
Baisley Park,5,9,0,0.0,1
Baisley Park,5,10,0,0.0,1
Baisley Park,5,11,0,0.0,1
Baisley Park,5,13,0,0.0,1
Baisley Park,5,14,0,0.0,1
Baisley Park,5,18,0,0.0,1
Baisley Park,5,19,0,0.0,1
Baisley Park,5,20,0,0.0,1
Baisley Park,5,21,0,0.0,1
Baisley Park,5,22,0,0.0,1
Baisley Park,6,7,0,0.0,1
Baisley Park,6,8,0,0.0,1
Baisley Park,6,11,0,0.0,1
Baisley Park,6,12,0,0.0,1
Baisley Park,6,14,0,0.0,1
Baisley Park,6,15,0,0.0,1
Baisley Park,6,16,0,0.0,1
Baisley Park,6,17,0,0.0,1
Baisley Park,6,18,0,0.0,1
Baisley Park,6,19,0,0.0,1
Baisley Park,6,20,0,0.0,1
Baisley Park,6,21,0,0.0,1
Baisley Park,6,23,5,1521.2,0
Bath Beach,3,19,0,0.0,1
Bath Beach,4,20,0,0.0,1
Battery Park City-Lower Manhattan,0,0,64,819.484375,0
Battery Park City-Lower Manhattan,0,1,29,867.0,0
Battery Park City-Lower Manhattan,0,2,14,883.0714285714286,0
Battery Park City-Lower Manhattan,0,3,8,1054.75,0
Battery Park City-Lower Manhattan,0,4,20,945.35,0
Battery Park City-Lower Manhattan,0,5,51,848.2941176470588,0
Battery Park City-Lower Manhattan,0,6,151,849.4569536423841,0
Battery Park City-Lower Manhattan,0,7,214,877.3224299065421,0
Battery Park City-Lower Manhattan,0,8,310,962.7129032258065,0
Battery Park City-Lower Manhattan,0,9,222,1054.2927927927929,0
Battery Park City-Lower Manhattan,0,10,195,1053.3589743589744,0
Battery Park City-Lower Manhattan,0,11,225,1130.6444444444444,0
Battery Park City-Lower Manhattan,0,12,233,1101.2703862660944,0
Battery Park City-Lower Manhattan,0,13,245,1041.061224489796,0
Battery Park City-Lower Manhattan,0,14,301,1089.528239202658,0
Battery Park City-Lower Manhattan,0,15,267,1168.123595505618,0
Battery Park City-Lower Manhattan,0,16,219,1179.9543378995434,0
Battery Park City-Lower Manhattan,0,17,306,1103.0,0
Battery Park City-Lower Manhattan,0,18,392,989.5382653061224,0
Battery Park City-Lower Manhattan,0,19,399,825.6441102756892,0
Battery Park City-Lower Manhattan,0,20,361,891.3074792243767,0
Battery Park City-Lower Manhattan,0,21,304,868.5296052631579,0
Battery Park City-Lower Manhattan,0,22,232,932.7887931034483,0
Battery Park City-Lower Manhattan,0,23,148,926.7702702702703,0
Battery Park City-Lower Manhattan,1,0,84,919.2619047619048,0
Battery Park City-Lower Manhattan,1,1,46,905.5,0
Battery Park City-Lower Manhattan,1,2,24,973.6666666666666,0
Battery Park City-Lower Manhattan,1,3,14,845.2142857142857,0
Battery Park City-Lower Manhattan,1,4,22,731.2272727272727,0
Battery Park City-Lower Manhattan,1,5,40,998.5,0
Battery Park City-Lower Manhattan,1,6,144,786.3402777777778,0
Battery Park City-Lower Manhattan,1,7,245,880.4489795918367,0
Battery Park City-Lower Manhattan,1,8,342,996.7865497076024,0
Battery Park City-Lower Manhattan,1,9,283,1168.2932862190812,0
Battery Park City-Lower Manhattan,1,10,236,1225.1822033898304,0
Battery Park City-Lower Manhattan,1,11,245,1233.5795918367346,0
Battery Park City-Lower Manhattan,1,12,261,1238.015325670498,0
Battery Park City-Lower Manhattan,1,13,285,1237.501754385965,0
Battery Park City-Lower Manhattan,1,14,311,1338.684887459807,0
Battery Park City-Lower Manhattan,1,15,279,1274.4659498207886,0
Battery Park City-Lower Manhattan,1,16,215,1371.2186046511629,0
Battery Park City-Lower Manhattan,1,17,281,1275.4021352313168,0
Battery Park City-Lower Manhattan,1,18,383,1114.7284595300262,0
Battery Park City-Lower Manhattan,1,19,405,910.5382716049382,0
Battery Park City-Lower Manhattan,1,20,391,914.6470588235294,0
Battery Park City-Lower Manhattan,1,21,385,938.9194805194805,0
Battery Park City-Lower Manhattan,1,22,290,973.7965517241379,0
Battery Park City-Lower Manhattan,1,23,198,872.8131313131313,0
Battery Park City-Lower Manhattan,2,0,110,877.4727272727273,0
Battery Park City-Lower Manhattan,2,1,55,907.0909090909091,0
Battery Park City-Lower Manhattan,2,2,26,903.3076923076923,0
Battery Park City-Lower Manhattan,2,3,19,895.3157894736842,0
Battery Park City-Lower Manhattan,2,4,26,1084.5,0
Battery Park City-Lower Manhattan,2,5,37,983.8378378378378,0
Battery Park City-Lower Manhattan,2,6,128,800.25,0
Battery Park City-Lower Manhattan,2,7,259,935.5135135135135,0
Battery Park City-Lower Manhattan,2,8,359,1071.8802228412255,0
Battery Park City-Lower Manhattan,2,9,259,1115.88416988417,0
Battery Park City-Lower Manhattan,2,10,229,1176.5109170305677,0
Battery Park City-Lower Manhattan,2,11,255,1333.7019607843138,0
Battery Park City-Lower Manhattan,2,12,288,1260.361111111111,0
Battery Park City-Lower Manhattan,2,13,284,1302.2570422535211,0
Battery Park City-Lower Manhattan,2,14,312,1402.1121794871794,0
Battery Park City-Lower Manhattan,2,15,251,1560.0438247011953,0
Battery Park City-Lower Manhattan,2,16,221,1610.1131221719456,0
Battery Park City-Lower Manhattan,2,17,289,1440.9826989619378,0
Battery Park City-Lower Manhattan,2,18,378,1164.7804232804233,0
Battery Park City-Lower Manhattan,2,19,432,981.3773148148148,0
Battery Park City-Lower Manhattan,2,20,372,915.7876344086021,0
Battery Park City-Lower Manhattan,2,21,381,974.6876640419947,0
Battery Park City-Lower Manhattan,2,22,301,990.3455149501661,0
Battery Park City-Lower Manhattan,2,23,238,1054.2983193277312,0
Battery Park City-Lower Manhattan,3,0,148,903.9864864864865,0
Battery Park City-Lower Manhattan,3,1,55,996.2727272727273,0
Battery Park City-Lower Manhattan,3,2,39,927.9487179487179,0
Battery Park City-Lower Manhattan,3,3,24,1019.8333333333334,0
Battery Park City-Lower Manhattan,3,4,30,923.0,0
Battery Park City-Lower Manhattan,3,5,65,959.7692307692307,0
Battery Park City-Lower Manhattan,3,6,158,887.3101265822785,0
Battery Park City-Lower Manhattan,3,7,268,998.6641791044776,0
Battery Park City-Lower Manhattan,3,8,362,1032.0552486187846,0
Battery Park City-Lower Manhattan,3,9,248,1257.2096774193549,0
Battery Park City-Lower Manhattan,3,10,266,1180.9962406015038,0
Battery Park City-Lower Manhattan,3,11,266,1314.9398496240601,0
Battery Park City-Lower Manhattan,3,12,326,1351.7331288343557,0
Battery Park City-Lower Manhattan,3,13,328,1316.1006097560976,0
Battery Park City-Lower Manhattan,3,14,323,1526.2229102167182,0
Battery Park City-Lower Manhattan,3,15,281,1613.1245551601423,0
Battery Park City-Lower Manhattan,3,16,234,1560.9786324786326,0
Battery Park City-Lower Manhattan,3,17,312,1406.3108974358975,0
Battery Park City-Lower Manhattan,3,18,383,1172.2845953002611,0
Battery Park City-Lower Manhattan,3,19,438,1004.865296803653,0
Battery Park City-Lower Manhattan,3,20,427,1022.5948477751756,0
Battery Park City-Lower Manhattan,3,21,421,1043.479809976247,0
Battery Park City-Lower Manhattan,3,22,345,1054.440579710145,0
Battery Park City-Lower Manhattan,3,23,284,1059.880281690141,0
Battery Park City-Lower Manhattan,4,0,190,1056.078947368421,0
Battery Park City-Lower Manhattan,4,1,113,1025.0176991150443,0
Battery Park City-Lower Manhattan,4,2,56,790.6964285714286,0
Battery Park City-Lower Manhattan,4,3,33,849.7878787878788,0
Battery Park City-Lower Manhattan,4,4,48,1036.5,0
Battery Park City-Lower Manhattan,4,5,63,975.031746031746,0
Battery Park City-Lower Manhattan,4,6,138,845.3695652173913,0
Battery Park City-Lower Manhattan,4,7,230,990.3739130434783,0
Battery Park City-Lower Manhattan,4,8,353,1005.614730878187,0
Battery Park City-Lower Manhattan,4,9,275,1150.5236363636363,0
Battery Park City-Lower Manhattan,4,10,241,1120.5311203319502,0
Battery Park City-Lower Manhattan,4,11,262,1173.7862595419847,0
Battery Park City-Lower Manhattan,4,12,323,1280.4891640866872,0
Battery Park City-Lower Manhattan,4,13,315,1221.6984126984128,0
Battery Park City-Lower Manhattan,4,14,330,1425.648484848485,0
Battery Park City-Lower Manhattan,4,15,285,1663.1929824561403,0
Battery Park City-Lower Manhattan,4,16,233,1535.7982832618027,0
Battery Park City-Lower Manhattan,4,17,273,1237.6996336996338,0
Battery Park City-Lower Manhattan,4,18,365,1093.7643835616439,0
Battery Park City-Lower Manhattan,4,19,405,961.7975308641975,0
Battery Park City-Lower Manhattan,4,20,349,913.5329512893983,0
Battery Park City-Lower Manhattan,4,21,329,920.6170212765958,0
Battery Park City-Lower Manhattan,4,22,315,967.5714285714286,0
Battery Park City-Lower Manhattan,4,23,254,943.5826771653543,0
Battery Park City-Lower Manhattan,5,0,211,1006.824644549763,0
Battery Park City-Lower Manhattan,5,1,133,901.4586466165414,0
Battery Park City-Lower Manhattan,5,2,84,991.6428571428571,0
Battery Park City-Lower Manhattan,5,3,57,824.9298245614035,0
Battery Park City-Lower Manhattan,5,4,46,1111.9565217391305,0
Battery Park City-Lower Manhattan,5,5,41,1011.1951219512196,0
Battery Park City-Lower Manhattan,5,6,57,992.859649122807,0
Battery Park City-Lower Manhattan,5,7,97,739.5360824742268,0
Battery Park City-Lower Manhattan,5,8,127,772.0472440944882,0
Battery Park City-Lower Manhattan,5,9,203,800.5566502463054,0
Battery Park City-Lower Manhattan,5,10,254,847.6929133858267,0
Battery Park City-Lower Manhattan,5,11,302,892.8443708609271,0
Battery Park City-Lower Manhattan,5,12,345,979.9565217391304,0
Battery Park City-Lower Manhattan,5,13,327,1047.8165137614678,0
Battery Park City-Lower Manhattan,5,14,365,1048.4136986301369,0
Battery Park City-Lower Manhattan,5,15,327,1105.1376146788991,0
Battery Park City-Lower Manhattan,5,16,306,1085.9150326797385,0
Battery Park City-Lower Manhattan,5,17,378,1048.4814814814815,0
Battery Park City-Lower Manhattan,5,18,365,1033.695890410959,0
Battery Park City-Lower Manhattan,5,19,339,960.3864306784661,0
Battery Park City-Lower Manhattan,5,20,320,901.75625,0
Battery Park City-Lower Manhattan,5,21,277,930.9566787003611,0
Battery Park City-Lower Manhattan,5,22,227,940.9647577092511,0
Battery Park City-Lower Manhattan,5,23,252,1004.3531746031746,0
Battery Park City-Lower Manhattan,6,0,229,927.471615720524,0
Battery Park City-Lower Manhattan,6,1,127,890.0236220472441,0
Battery Park City-Lower Manhattan,6,2,73,878.6164383561644,0
Battery Park City-Lower Manhattan,6,3,48,896.9166666666666,0
Battery Park City-Lower Manhattan,6,4,38,881.5263157894736,0
Battery Park City-Lower Manhattan,6,5,39,867.2307692307693,0
Battery Park City-Lower Manhattan,6,6,45,1020.2222222222222,0
Battery Park City-Lower Manhattan,6,7,61,841.5245901639345,0
Battery Park City-Lower Manhattan,6,8,101,812.7821782178218,0
Battery Park City-Lower Manhattan,6,9,182,797.0,0
Battery Park City-Lower Manhattan,6,10,226,827.6548672566372,0
Battery Park City-Lower Manhattan,6,11,300,864.4333333333333,0
Battery Park City-Lower Manhattan,6,12,306,874.0588235294117,0
Battery Park City-Lower Manhattan,6,13,353,981.6798866855524,0
Battery Park City-Lower Manhattan,6,14,302,1081.7218543046358,0
Battery Park City-Lower Manhattan,6,15,300,1095.5633333333333,0
Battery Park City-Lower Manhattan,6,16,272,1092.922794117647,0
Battery Park City-Lower Manhattan,6,17,309,1006.9676375404531,0
Battery Park City-Lower Manhattan,6,18,282,979.0957446808511,0
Battery Park City-Lower Manhattan,6,19,245,893.4081632653061,0
Battery Park City-Lower Manhattan,6,20,202,877.8069306930693,0
Battery Park City-Lower Manhattan,6,21,141,825.2553191489362,0
Battery Park City-Lower Manhattan,6,22,123,792.1056910569106,0
Battery Park City-Lower Manhattan,6,23,81,791.4691358024692,0
Bay Ridge,0,12,0,0.0,1
Bay Ridge,1,9,0,0.0,1
Bay Ridge,1,14,0,0.0,1
Bay Ridge,1,15,0,0.0,1
Bay Ridge,1,16,0,0.0,1
Bay Ridge,1,21,0,0.0,1
Bay Ridge,1,22,0,0.0,1
Bay Ridge,2,6,0,0.0,1
Bay Ridge,2,17,0,0.0,1
Bay Ridge,2,20,0,0.0,1
Bay Ridge,2,21,0,0.0,1
Bay Ridge,2,23,0,0.0,1
Bay Ridge,3,6,0,0.0,1
Bay Ridge,3,7,0,0.0,1
Bay Ridge,3,13,0,0.0,1
Bay Ridge,3,15,0,0.0,1
Bay Ridge,4,1,0,0.0,1
Bay Ridge,4,12,0,0.0,1
Bay Ridge,4,19,0,0.0,1
Bay Ridge,5,0,0,0.0,1
Bay Ridge,5,2,0,0.0,1
Bay Ridge,5,4,0,0.0,1
Bay Ridge,5,5,0,0.0,1
Bay Ridge,5,6,0,0.0,1
Bay Ridge,5,8,0,0.0,1
Bay Ridge,5,10,0,0.0,1
Bay Ridge,5,14,0,0.0,1
Bay Ridge,5,16,0,0.0,1
Bay Ridge,5,20,0,0.0,1
Bay Ridge,5,22,0,0.0,1
Bay Ridge,5,23,0,0.0,1
Bay Ridge,6,0,0,0.0,1
Bay Ridge,6,1,0,0.0,1
Bay Ridge,6,2,0,0.0,1
Bay Ridge,6,3,0,0.0,1
Bay Ridge,6,4,0,0.0,1
Bay Ridge,6,17,0,0.0,1
Bay Ridge,6,18,0,0.0,1
Bay Ridge,6,23,0,0.0,1
Bayside-Bayside Hills,1,18,0,0.0,1
Bayside-Bayside Hills,5,2,0,0.0,1
Bayside-Bayside Hills,6,2,0,0.0,1
Bedford,0,0,9,604.7777777777778,0
Bedford,0,1,0,0.0,1
Bedford,0,2,6,506.3333333333333,0
Bedford,0,3,0,0.0,1
Bedford,0,4,0,0.0,1
Bedford,0,5,0,0.0,1
Bedford,0,6,0,0.0,1
Bedford,0,7,0,0.0,1
Bedford,0,8,0,0.0,1
Bedford,0,10,0,0.0,1
Bedford,0,12,0,0.0,1
Bedford,0,13,0,0.0,1
Bedford,0,14,0,0.0,1
Bedford,0,17,0,0.0,1
Bedford,0,18,0,0.0,1
Bedford,0,19,0,0.0,1
Bedford,0,20,5,846.6,0
Bedford,0,21,5,443.6,0
Bedford,0,22,6,500.3333333333333,0
Bedford,0,23,8,635.125,0
Bedford,1,0,8,505.25,0
Bedford,1,1,0,0.0,1
Bedford,1,2,0,0.0,1
Bedford,1,3,0,0.0,1
Bedford,1,4,0,0.0,1
Bedford,1,5,0,0.0,1
Bedford,1,8,0,0.0,1
Bedford,1,9,5,1389.6,0
Bedford,1,10,0,0.0,1
Bedford,1,12,0,0.0,1
Bedford,1,14,0,0.0,1
Bedford,1,15,0,0.0,1
Bedford,1,17,0,0.0,1
Bedford,1,18,5,728.2,0
Bedford,1,19,0,0.0,1
Bedford,1,20,0,0.0,1
Bedford,1,21,0,0.0,1
Bedford,1,22,6,633.0,0
Bedford,1,23,10,524.1,0
Bedford,2,0,8,642.5,0
Bedford,2,1,7,729.0,0
Bedford,2,2,0,0.0,1
Bedford,2,3,0,0.0,1
Bedford,2,4,0,0.0,1
Bedford,2,5,0,0.0,1
Bedford,2,6,0,0.0,1
Bedford,2,8,0,0.0,1
Bedford,2,9,0,0.0,1
Bedford,2,11,0,0.0,1
Bedford,2,12,0,0.0,1
Bedford,2,16,0,0.0,1
Bedford,2,17,0,0.0,1
Bedford,2,18,5,605.6,0
Bedford,2,19,0,0.0,1
Bedford,2,20,0,0.0,1
Bedford,2,21,0,0.0,1
Bedford,2,22,9,625.7777777777778,0
Bedford,2,23,15,831.7333333333333,0
Bedford,3,0,8,456.625,0
Bedford,3,1,0,0.0,1
Bedford,3,2,0,0.0,1
Bedford,3,3,0,0.0,1
Bedford,3,4,0,0.0,1
Bedford,3,5,0,0.0,1
Bedford,3,6,0,0.0,1
Bedford,3,7,0,0.0,1
Bedford,3,9,0,0.0,1
Bedford,3,10,0,0.0,1
Bedford,3,15,0,0.0,1
Bedford,3,18,0,0.0,1
Bedford,3,19,0,0.0,1
Bedford,3,20,7,558.8571428571429,0
Bedford,3,21,8,610.5,0
Bedford,3,22,8,833.5,0
Bedford,3,23,8,447.375,0
Bedford,4,0,8,488.75,0
Bedford,4,1,11,655.4545454545455,0
Bedford,4,2,0,0.0,1
Bedford,4,3,8,383.0,0
Bedford,4,4,5,559.0,0
Bedford,4,5,0,0.0,1
Bedford,4,7,0,0.0,1
Bedford,4,9,0,0.0,1
Bedford,4,10,0,0.0,1
Bedford,4,11,0,0.0,1
Bedford,4,12,0,0.0,1
Bedford,4,13,0,0.0,1
Bedford,4,14,0,0.0,1
Bedford,4,15,0,0.0,1
Bedford,4,17,0,0.0,1
Bedford,4,18,0,0.0,1
Bedford,4,19,8,580.375,0
Bedford,4,20,7,585.4285714285714,0
Bedford,4,21,0,0.0,1
Bedford,4,22,6,943.6666666666666,0
Bedford,4,23,9,751.3333333333334,0
Bedford,5,0,19,580.8947368421053,0
Bedford,5,1,15,767.7333333333333,0
Bedford,5,2,20,685.85,0
Bedford,5,3,13,612.4615384615385,0
Bedford,5,4,6,574.1666666666666,0
Bedford,5,5,0,0.0,1
Bedford,5,6,0,0.0,1
Bedford,5,7,0,0.0,1
Bedford,5,8,0,0.0,1
Bedford,5,9,0,0.0,1
Bedford,5,10,0,0.0,1
Bedford,5,11,0,0.0,1
Bedford,5,12,0,0.0,1
Bedford,5,13,0,0.0,1
Bedford,5,14,0,0.0,1
Bedford,5,15,0,0.0,1
Bedford,5,16,0,0.0,1
Bedford,5,17,0,0.0,1
Bedford,5,18,0,0.0,1
Bedford,5,19,6,1106.3333333333333,0
Bedford,5,20,7,906.5714285714286,0
Bedford,5,21,5,613.4,0
Bedford,5,22,7,596.8571428571429,0
Bedford,5,23,11,898.5454545454545,0
Bedford,6,0,22,657.5454545454545,0
Bedford,6,1,17,722.7058823529412,0
Bedford,6,2,9,709.6666666666666,0
Bedford,6,3,12,516.5,0
Bedford,6,4,8,729.0,0
Bedford,6,5,0,0.0,1
Bedford,6,7,0,0.0,1
